"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",1,"normal",25,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",2,"normal",,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",3,"normal",,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",0,"normal",165,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",1,"normal",165,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",2,"normal",155,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",0,"normal",50,9,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",1,"normal",50,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",2,"normal",45,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",3,"normal",45,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",0,"normal",12.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",1,"normal",12.5,6,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",2,"normal",10,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Behind the Back Curl (Cable)",,"",0,"normal",22.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Behind the Back Curl (Cable)",,"",1,"normal",22.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Seated Cable Row - V Grip (Cable)",,"",0,"normal",160,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Seated Cable Row - V Grip (Cable)",,"",1,"normal",160,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Lat Pulldown (Cable)",,"",0,"normal",160,8,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Bench Press (Barbell)",,"Shoulder pain",0,"normal",185,4,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Incline Bench Press (Barbell)",,"",0,"normal",165,5,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Incline Bench Press (Barbell)",,"",1,"normal",155,6,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Incline Bench Press (Barbell)",,"",2,"normal",145,6,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Incline Bench Press (Barbell)",,"",3,"normal",135,7,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Tricep Extension (Rope)",,"",0,"normal",40,5,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Tricep Extension (Rope)",,"",1,"normal",30,8,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Tricep Extension (Rope)",,"",2,"normal",30,7,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Tricep Extension (Rope)",,"",3,"normal",30,6,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Chest Fly (Machine)",,"",0,"normal",188,9,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Chest Fly (Machine)",,"",1,"normal",188,7,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Chest Fly (Machine)",,"",2,"normal",180,5,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Overhead Press (Dumbbell)",,"",0,"normal",90,7,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Overhead Press (Dumbbell)",,"",1,"normal",90,6,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Leg Raise Parallel Bars",,"",0,"normal",,20,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Leg Raise Parallel Bars",,"",1,"normal",,15,,,
"Push","21 Oct 2025, 19:09","21 Oct 2025, 20:11","","Leg Raise Parallel Bars",,"",2,"normal",,12,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Smith Bulgarian Squat",,"Assume sw 15",0,"normal",220,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Smith Bulgarian Squat",,"Assume sw 15",1,"normal",220,5,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Leg Curl (Machine)",,"",0,"normal",145,8,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Leg Curl (Machine)",,"",1,"normal",145,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Leg Curl (Machine)",,"",2,"normal",140,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Leg Curl (Machine)",,"",3,"normal",135,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Single Leg Extensions",,"",0,"normal",128,7,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Single Leg Extensions",,"",1,"normal",120,7,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Leg Extension (Machine)",,"",0,"normal",240,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Leg Extension (Machine)",,"",1,"normal",225,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Leg Extension (Machine)",,"",2,"normal",220,6,,,
"Lower + yap sesh","20 Oct 2025, 15:43","20 Oct 2025, 17:23","","Seated Palms Up Wrist Curl",,"",0,"normal",20,8,,,
